blocktype,blockcode,win1lose0,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,innertrials.thisRepN,innertrials.thisTrialN,innertrials.thisN,innertrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Punish.thisRepN,Punish.thisTrialN,Punish.thisN,Punish.thisIndex,response1.keys,response1.rt,response1_2.started,response1_2.keys,response1_2.rt,response1_3.started,response1_3.keys,response1_3.rt,Inst1_4.started,trigger_input.started,trigger_input.keys,trigger_input.rt,firstTrialITI.started,firstTrialITI.stopped,text_blocktype.started,text_blocktype.stopped,fixation.started,fixation.stopped,rect_resp_pun.started,quest_pun.started,response_pun.started,ISI2.started,rect_resp_pun.stopped,quest_pun.stopped,response_pun.stopped,ISI2.stopped,response_pun.keys,rect_out_pun.started,feedback_pun.started,display_pun.started,image_pun.started,image_redx.started,ITI2_pun.started,rect_out_pun.stopped,feedback_pun.stopped,display_pun.stopped,image_pun.stopped,image_redx.stopped,ITI2_pun.stopped,rect_resp_rew.started,quest_rew.started,response_rew.started,ITI1_rew.started,rect_resp_rew.stopped,quest_rew.stopped,response_rew.stopped,ITI1_rew.stopped,response_rew.keys,response_rew.rt,rect_out_rew.started,feedback_rew.started,display_rew.started,image_rew.started,image_greencheck.started,ITI2_rew.started,rect_out_rew.stopped,feedback_rew.stopped,display_rew.stopped,image_rew.stopped,image_greencheck.stopped,ITI2_rew.stopped,response_pun.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,1,2.0147921250318177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,10.793094833032228,1,2.4081208749557845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,13.206006916007027,1,5.292846083000768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5037763750297,18.5037763750297,t,3.6665232499944977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,0,0,0,0,0,0,0,0,12,,,,,0,0,0,0,,,,,,,,,,,,,22.17528583301464,26.212916415999644,26.212916415999644,26.212916415999644,26.212916415999644,26.212916415999644,26.212916415999644,26.212916415999644,26.212916415999644,28.18617825000547,28.201708791020792,28.201708791020792,28.201708791020792,29.231913458032068,None,29.231913458032068,29.231913458032068,29.231913458032068,29.231913458032068,29.231913458032068,30.17455316602718,30.231269958021585,30.231269958021585,30.231269958021585,30.231269958021585,30.231269958021585,34.18692775000818,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,1,0,0,0,0,0,1,1,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.18692775000818,34.18692775000818,34.18692775000818,36.15658254100708,36.17663087503752,36.17663087503752,36.17663087503752,41.1954087500344,['b'],[0.3172782090259716],41.1954087500344,41.1954087500344,41.1954087500344,41.1954087500344,41.1954087500344,42.15024945803452,42.1903943750076,42.1903943750076,42.1903943750076,42.1903943750076,42.1903943750076,48.14990216604201,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,1,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,0,0,0,0,0,0,2,2,16,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,48.14990216604201,48.14990216604201,48.14990216604201,50.125617791025434,50.146833041042555,50.146833041042555,50.146833041042555,55.14149437501328,['y'],55.14149437501328,55.14149437501328,55.14149437501328,55.14149437501328,55.14149437501328,56.11262183304643,56.13752404105617,56.13752404105617,56.13752404105617,56.13752404105617,56.13752404105617,60.11040858301567,,,,,,,,,,,,,,,,,,,,,,,[0.33716220897622406],9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
money,1,0,0,0,0,0,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,001,2023-07-06_13h58.28.908,card-task-brief-money,2022.2.5,None,
